text;stars
;4
;4
;5
;5
;5
Toll das man auch Sonntags einkaufen kann;5
;3
;4
Super freundlich schnell und preiswert;5
;5
;5
;4
;3
sehr freundlich;5
Große Auswahl an Mittagsweckerl.;4
;5
"Außerordentlich! Nicht nur die Öffnungszeiten sondern auch die Auswahl.
Mein Highlight sind immer die beiden Kassierer,  einer mit Bart, einer mit Glatze, die trotz des großen Ansturms immer nachfragen,  wie es mir geht.";5
;4
"Gehe gern dort einkaufen. Fast täglich, für mich bequem zu erreichen. Freundliche Verkäuferinnen, Lebensmittel frisch, haben ""warme Theke"" und mit Rabattmarkerln günstig. Schliesst leider im Sommer, sehr zum Leidwesen der angrenzenden Bewohner. Werde dann zum Lidl einkaufen geh'n müssen. Billa in der Cerning. Ist mir zu weit, da kann ich gleich zum Hofer geh'n.";1
;4
;1
Seit der Einführung von gefühlten 100 (in wirklichkeit ca 15) Selbstbedienungskassen, wartet man nicht länger als ein paar Minuten an der Kasse. Geil;5
;5
;5
;5
;5
;5
;5
;5
;5
;5
;5
"Eine sehr gute Filiale, auch an Sonn- und Feiertagen offen.

Einziger Kritikpunkt, teilweise sehr lange Warteschlangen an der Kassa.";4
???????? ???? ?? 22.00 ???? ???,????? ????,????? ???????, ???? ???????? ???? ?????,???? ???? ???? ?? ??? ????, ???? ?? ???? ????? ???? ???;5
;5
;5
hatte eine hose mit leoprint an und ein mitarbeiter hat mir mehrmals jaguar nachgeschrien. ich fands nicht schön;1
;1
;5
;3
;4
;4
;4
;5
Ist gut, am Sonntag ist die Hölle los;4
;5
;5
Kleine Billa Filiale direkt am Praterstern. 7 Tage die Woche geöffnet, normale Preise, ideal für einen Verpflegungseinkauf vor einem Prater Besuch;4
Super..;5
;5
;5
;4
Expensive;3
Freundliches und hilfsbereites Personal. Da ich mit Rollstuhl unterwegs bin macht das Einkauf dort echt Spaß.;5
;1
????????? ??????????.;5
;3
??????? ???????. ??????? ??????. ?????????? ????. ? ????? ???????? ???? ???????? ??? ??????.;5
;2
;4
;4
;5
;5
Das Personal an der Selbstbedienungskasse ist einfach unfassbar frech. Ungeschult und einfach bissig!;1
;5
Massenabfertigung, unhöfliches Personal, auffällige Kaufhausdetektive was manchmal störend wirkt, viele Alkoholkranke und Nordosten sehr lautstark vertreten, gut das es lang und fast immer geöffnet hat.......Ende;3
Großes Angebot diverse Produkte die andere BILLA Filialen nicht haben.;5
;5
;4
?????????????????;5
;5
Wie bereits erwähnt das ständige Einsammeln von den Wagerln der Mitarbeiter nervt,das gequitsche der Wagerln nervt.;2
;3
;5
Großes Angebot!;5
the anger old Lady from the securiry is not very understanding but shout out to the friendly guy that freed us;1
;5
;5
"Gute Auswahl aber leider immer zu viele Leute.. dafür schnelle Self-Checkout Kassen!
Öffnungszeiten auch top!";4
5 stars for opening times. Everything else... Standard.;5
Nummer 1;5
;1
???? ?? ??? ????. ?????? ?????? ?? ???? ????;5
;5
;4
Super;5
;4
;5
;4
;4
;5
;5
;4
;3
;1
Sehr nettes Personal.;5
;2
Austria's ridiculous law restricting access to food causes overcrowding which is a health hazard. If you want to see the tragic results of this foolish custom, go to billa at praterstern on a Sunday.;4
;1
Long queues because it is so good;3
Super Filiale,immer sauber.;5
