likesCount;publishedAtDate;stars;text;title
0;2023-03-15T16:19:05.739Z;5;Good food...not best in vienna but ok...small restorante;FERHAT D?NER
0;2023-03-15T15:00:41.103Z;5;;FERHAT D?NER
0;2023-03-15T12:58:39.041Z;3;Th?t kh?ng th?m, nh?t nh?o. Gi? cao h?n m?t b?ng chung.;FERHAT D?NER
1;2023-03-15T08:13:40.951Z;5;My first ever taste...superb! There were a variety of other places offering a similar dish, but by far, this was the destination for those seeking a taste. Food was fantastic and we ate  at outside on the promenade. Well worth a visit;FERHAT D?NER
0;2023-03-14T16:07:53.856Z;5;;FERHAT D?NER
1;2023-03-14T13:38:38.537Z;5;Delicious d?ner;FERHAT D?NER
0;2023-03-14T11:04:05.832Z;5;;FERHAT D?NER
0;2023-03-14T10:16:39.575Z;3;Geschmacklich okay, aber das lange warten hat sich f?r mich nicht gelohnt. Zu sehr gehyped. Das Fleisch sieht gut aus, schmeckt auch nicht schlecht, aber mich st?rte, dass das angeschnittene Fleisch nochmal auf einem Blech gebraten wurde, was sich ehrlich gesagt an dem Geschmack und der Konsistenz des Fleisches bemerkbar gemacht hat. Als Berliner bin ich leider zu verw?hnt, was den D?ner angeht.;FERHAT D?NER
0;2023-03-14T09:07:17.081Z;5;Ich war gester bei Ferhat und ich kann nur sagen, dass es unglaubig geschmaeckt hat. War geschaftlich in Bratislav und konnte mir das nicht entgehen lassen. Bin extra fuer Ferhat Doner nach Wien gefahren.;FERHAT D?NER
1;2023-03-13T21:21:36.787Z;5;Der beste D?ner den du essen kannst vorausgesetzt man hat ein bisschen Ahnung von Kuinarik. Der Fleischgeschmack ist unfassbar gut. Das Brot ist wahnsinnig gut gebacken. Alles drum herum ?berragend und nur zu empfehlen;FERHAT D?NER
0;2023-03-13T19:13:03.283Z;5;;FERHAT D?NER
0;2023-03-13T17:31:32.637Z;5;;FERHAT D?NER
0;2023-03-13T17:12:35.482Z;3;;FERHAT D?NER
1;2023-03-13T15:48:22.694Z;5;Super Qualit?t. Reines Rindfleisch mit Beilage nach Wahl. Preislich voll OK. Genie?en vor Ort. In einem ganz normalen einfachen Ambiente, oder auf der Stra?e. Jeder nach seiner Facon;FERHAT D?NER
1;2023-03-13T15:39:01.255Z;5;Echt zum Empfehlen, gibt nichts besseres;FERHAT D?NER
0;2023-03-13T13:53:55.065Z;5;Als ich den Hype h?rte, hatte ich mehr erwartet. Es gibt Fleischportionen in verschiedenen Gr??en. Ich habe das Holzfeuer nicht geschmeckt, mit dem das Fleisch gekocht wurde, und das ganze Sandwich ist einfach nicht saftig oder geschmackvoll genug;FERHAT D?NER
3;2023-03-13T10:17:41.043Z;4;Kritische Bewertung eines Stammkunden:;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
1;2023-03-13T06:37:07.461Z;5;Beste D?ner den ich kenne.Der Spie? wird von Hand gesteckt.Das Brot selbst gebacken.Ein Chef der nur h?chste Qualit?t akzeptiert.Das Ergebnis ist der beste D?ner den du bekommen kannst.;FERHAT D?NER
0;2023-03-12T15:46:42.398Z;4;;FERHAT D?NER
2;2023-03-12T13:31:00.070Z;5;Sehr gutes Kebab;FERHAT D?NER
2;2023-03-12T00:32:01.705Z;5;Jedan od najboljih u tom delu!;FERHAT D?NER
2;2023-03-11T23:19:25.215Z;5;J?tte gott rekomenderar;FERHAT D?NER
2;2023-03-11T21:45:25.697Z;5;Bester d?ner den ich je gegessen habe. Das Brot ist sehr lecker und das Fleisch saftig.;FERHAT D?NER
3;2023-03-11T21:00:35.359Z;5;Veramente ottimo, la carne si distingue subito, fin dal primo morso, nonostante lo abbia riempito con ogni condimento, il sapore della carne si distingue, il migliore che abbia mai mangiato, prossima volta D?r?m;
;;;;
0;2023-03-11T19:31:58.505Z;5;Super;FERHAT D?NER
0;2023-03-11T17:40:26.799Z;5;;FERHAT D?NER
2;2023-03-11T17:00:18.954Z;5;Geilster D?ner ever!!!!;FERHAT D?NER
2;2023-03-11T14:30:01.130Z;5;Es war wirklich der Beste D?ner den ich je gegessen habe!;FERHAT D?NER
0;2023-03-11T14:27:01.154Z;5;;FERHAT D?NER
3;2023-03-11T13:30:59.823Z;5;Wer gerne einen authentischen D?ner probieren m?chte ist hier genau an der richtigen Adresse!;
;;;;
0;2023-03-11T06:09:35.675Z;5;;FERHAT D?NER
0;2023-03-10T20:21:09.601Z;5;;FERHAT D?NER
0;2023-03-10T19:50:38.886Z;5;;FERHAT D?NER
0;2023-03-10T19:18:41.807Z;5;;FERHAT D?NER
0;2023-03-10T14:08:52.152Z;5;;FERHAT D?NER
1;2023-03-10T13:16:54.750Z;5;Sehr gutes Flesch schmeckt ?hnlich zu Cagkebab, also sehr zartes Fleisch.;
;;;;
;;;;
0;2023-03-10T09:17:20.062Z;5;;FERHAT D?NER
1;2023-03-10T06:30:44.032Z;5;Bambino;FERHAT D?NER
0;2023-03-09T18:19:00.279Z;5;;FERHAT D?NER
1;2023-03-09T16:08:41.008Z;5;???????, ??????? ? ?????????? ?????. ????? ?????????? ???????? ???????????? ?????????;FERHAT D?NER
0;2023-03-09T15:05:22.320Z;5;;FERHAT D?NER
0;2023-03-09T12:49:51.768Z;5;;FERHAT D?NER
1;2023-03-09T06:33:15.510Z;5;Sehr geiler Kebab. Angeblich einer der Besten in ganz Europa.;
;;;;
0;2023-03-09T06:12:26.151Z;3;Exzellentes D?ner Rindfleisch wird einem hier versprochen und die Schlangen vor dem Gesch?ft in  der Favoritenstrasse lassen das auch erwarten. Man kommt trotzdem flott voran, Bestellung und Zahlung erfolgen minuti?s, und schon hat man das D?r?m in Folie verpackt in der Hand.;
;;;;
;;;;
0;2023-03-08T22:48:49.887Z;4;Ein Stern Abzug wegen der arroganten und unfreundlichen Bedienung;FERHAT D?NER
0;2023-03-08T20:04:03.539Z;5;;FERHAT D?NER
2;2023-03-08T15:52:08.754Z;5;Beste D?ner aus 100% Rindfleisch. Dort geht es schnell und organisiert zu. Kein langes Warten. Appetit holen, aussuchen, zahlen und genie?en.;
;;;;
0;2023-03-08T13:15:07.225Z;5;;FERHAT D?NER
