stars;text;title;totalScore
5;;Hofburg Wien;4,7
5;Grandiose;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Pour revivre l'histoire de Sisi !;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Beeindruckend schön und sehr lehrreiche Führung, sehr empfehlenswert;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Piekne wspomnienia cesarstwa Austro W?gier.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Love this place.. imaging you travel back in time in Hapsburg era..;Hofburg Wien;4,7
5;El palacio es inmenso, la entrada para ver las obras de arte son como 5�. Los cuadros son espectaculares. Los jardines son muy bonitos. Muy recomendable.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
3;Demasiada gente aglomerada, poca luz.  Estancias muy bonitas, audiogu�a �til. Imposible disfrutar de la visita por la masificaci�n de visitantes.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;Huge territory with many museums;Hofburg Wien;4,7
5;???????;Hofburg Wien;4,7
5;"Just had the most magical experience in Vienna!
..
..
..
Took a horse cart ride in front of the stunning Hofburg palace and it was like stepping back in time to the imperial era.
..
..
..
The grandeur and beauty of this historic landmark is simply breathtaking. Can�t wait to explore more of this beautiful city!
..
..
..
V I E N N A �.. A U S T R I A
..
..
..
#Vienna #Hofburg #HorseCartRide #ImperialEra #TravelGoals #BirthdayCelebrations #Travel #History #Architecture #Gardens #Austria #viennanow #viennablogger #viennaaustria #viennagram #viennacity #vienna_city #viennalove #vienna_austria #vienna_go #visitaustria #austriatoday";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Fantastic;Hofburg Wien;4,7
5;"Very impressive architecture!

Please note, if you visit, please do not use the horse/carriage mode of transport - they're treated very poorly";Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Huge area and a great silver collection from imperial family;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;??;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Absolutely stunning place with great history!;Hofburg Wien;4,7
3;Trop de panneaux publicitaires;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Die Hofburg in Wien ist der gr��te, nicht-religi�se, Geb�udekomplex in Europa. Die Hofburg wurde �ber die Jahrhunderte immer wieder erweitert. Heute umfasst sie 24 Hektar und reicht vom Ballhausplatz �ber die Nationalbibliothek bis zur Albertina. Sie ist der offizielle Amtssitz und auch der offizielle Wohnort des Bundespr�sidenten. Soweit bekannt, hat allerdings keiner der Pr�sidenten tats�chlich hier gewohnt. Staatsg�ste werden hier empfangen und Regierungsangelobungen werden hier durchgef�hrt.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Warto tu przychodzi? wielokrotnie, bo zawsze mo?na dostrzec inne atrakcje. Nie polecam zaznajamia? si? ze wszystkim od razu. Ogl?danie np. 2-3 godziny zbior�w Sisi to wystarczaj?ce wra?enie na raz;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;"Ich liebe einfach alles; das Geb�ude �berhaupt, die Geschichte und alle Ausstellungen";Hofburg Wien;4,7
5;"Mueso donde se encuentra el penacho de Moctezuma de mexico.
Interesante visita cultural.";Hofburg Wien;4,7
5;Ich war in der Hofburgkapelle. Ich kann diesen Besuch einer hl. Messe nur empfehlen.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Must visited;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;A faire si vous �tes � Vienne;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;First thing to see in the city;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Die bundesherr war da;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Mit dem Sisi-Ticket in der Silberkammer und den Kaiserappartements, sehr interessant und aufschlussreich. Leider samstags sehr �berlaufen.;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Il Museo dedicato a Sissi merita una visita, peccato che sia sempre superaffollato e quindi sia difficile vedere bene le vetrine o indugiare davanti a qualcosa che ci interessa in modo particolare.;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Najlep�ie miesto na parkovanie vo viedni;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Ein Wundersch�ner Ort, man muss einfach dahin.;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;????????????????????????????????;Hofburg Wien;4,7
4;Beautiful place for photos;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Very beautiful place...;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Loved seeing the Lipizzan Stallions!;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
5;Visita obligada en la Viena hist�rica. Impresionante, descomunal, lleno de historia y leyenda. Recomendable un paseo por sus plazas, sus iglesias, parques y fachadas.;Hofburg Wien;4,7
5;??? ?? ??? ?? ? ???;Hofburg Wien;4,7
5;;Hofburg Wien;4,7
5;Prachtig gebouw. Sisi museum zeker een bezoekje waard. De paarden met koetsen zijn ook hier terug te vinden;Hofburg Wien;4,7
4;;Hofburg Wien;4,7
