publishedAtDate;stars;text;title
2023-03-16T17:29:55.337Z;5;;OBI Markt Wien Triester Str.
2023-03-16T05:49:30.420Z;3;;OBI Markt Wien Triester Str.
2023-03-15T18:50:28.431Z;4;;OBI Markt Wien Triester Str.
2023-03-15T02:22:44.968Z;5;lg Walter Stahl;OBI Markt Wien Triester Str.
2023-03-14T19:08:23.712Z;4;;OBI Markt Wien Triester Str.
2023-03-14T17:17:10.066Z;5;Przestronny nowoczesny market z bardzo wygodnym parkingiem,pami?tam jaki by? przed przebudow? .Parking by? nieciekawy,ale zakupy robi?em z przyjemno??i? tak jak i obecnie.;OBI Markt Wien Triester Str.
2023-03-13T21:20:49.204Z;5;?????? ?????????????? ????? ??????. ???????? ????????.;OBI Markt Wien Triester Str.
2023-03-13T12:57:51.570Z;5;War eben dort und habe eine sehr gute Beratung von Hrn. Fantner bekommen. Top.;OBI Markt Wien Triester Str.
2023-03-13T09:48:48.541Z;4;;OBI Markt Wien Triester Str.
2023-03-12T16:23:11.382Z;4;Ganz OK! Hab fast alles bekommen was ich brauchte und wurde auch gut beraten.;OBI Markt Wien Triester Str.
2023-03-12T16:08:18.237Z;5;;OBI Markt Wien Triester Str.
2023-03-12T10:45:21.546Z;5;??????;OBI Markt Wien Triester Str.
2023-03-11T20:54:03.449Z;4;Alles gut, ein großer OBI mit viel Personal und vorallem großer Gartenauswahl.;OBI Markt Wien Triester Str.
2023-03-10T15:25:24.987Z;5;Große Auswahl Einfahrt zu obi parkgarage perfekt zum einkaufen;OBI Markt Wien Triester Str.
2023-03-10T14:33:34.545Z;1;"Heute war das unfreundlichste Personal an der Self Service Kasse.
Ich habe der Dame empfohlen zuerst zu denken und dann zu antworten.
So geht man mit Kunden nicht um.
Ich empfehle einen Kurs zum Thema
kundenorientiertes Verhalten.
Das nächste Mal gehe ich wieder zum Horbach.";OBI Markt Wien Triester Str.
2023-03-09T22:11:58.712Z;4;Material das ich für mein neues Badezimmer benötige ist vorhanden aber die Lieferzeit der Möbel für das Badezimmer von 3-4 Wochen ist mir zu lange und daher fahre ich zu Ikea;OBI Markt Wien Triester Str.
2023-03-09T19:36:06.749Z;5;Ich war letztens beim Obi und wurde gut beraten von Frau Sula. Eine sehr freundliche und hilfsbereite Mitarbeiterin. Freue mich auf die weiteren Einkäufe beim Obi.;OBI Markt Wien Triester Str.
2023-03-09T16:11:54.987Z;5;Alles top;OBI Markt Wien Triester Str.
2023-03-08T22:52:53.902Z;5;;OBI Markt Wien Triester Str.
2023-03-08T20:25:52.851Z;4;;OBI Markt Wien Triester Str.
2023-03-08T19:20:03.018Z;5;V good pizza;OBI Markt Wien Triester Str.
2023-03-08T17:38:43.080Z;5;;OBI Markt Wien Triester Str.
2023-03-07T23:09:12.829Z;5;Gut;OBI Markt Wien Triester Str.
2023-03-07T20:03:27.844Z;4;;OBI Markt Wien Triester Str.
2023-03-07T18:43:39.550Z;5;;OBI Markt Wien Triester Str.
2023-03-07T12:29:49.762Z;5;Alles was man braucht tolles Service.;OBI Markt Wien Triester Str.
2023-03-07T07:37:34.867Z;5;;OBI Markt Wien Triester Str.
2023-03-06T16:49:08.406Z;2;;OBI Markt Wien Triester Str.
2023-03-06T16:08:25.214Z;5;;OBI Markt Wien Triester Str.
2023-03-05T10:41:52.227Z;4;;OBI Markt Wien Triester Str.
2023-03-05T06:46:03.768Z;5;Riesengroß, man bekommt fast alles , das Personal immer bereit zu helfen, sehr freundlich, alles Rollstuhlgerecht, Parkplätze reichlich vorhanden;OBI Markt Wien Triester Str.
2023-03-04T09:52:58.035Z;5;Alles gefunden für meine Haus Pflanzen;OBI Markt Wien Triester Str.
2023-03-03T18:45:46.737Z;3;Großer Baumarkt mit viel Auswahl für Heim und Garten und Parkplatz vor der Türe. Aber wie überall in Baumärkten keine Beratung bzw sind nicht einmal Verkäufer in Sichtweite...;OBI Markt Wien Triester Str.
2023-03-03T17:52:59.271Z;4;;OBI Markt Wien Triester Str.
2023-03-02T18:26:10.634Z;3;;OBI Markt Wien Triester Str.
2023-03-02T00:33:45.010Z;3;Leider wie jeder Baumarkt heutzutage. Meist ungeschultes und unfreundliches Personal. Lediglich in der Türenabteilung habe ich einen bemühten Mitarbeiter gefunden, welcher mir wirklich geholfen hat.;OBI Markt Wien Triester Str.
2023-03-01T21:22:49.258Z;5;;OBI Markt Wien Triester Str.
2023-03-01T19:34:15.533Z;5;Sehr sehr gut;OBI Markt Wien Triester Str.
2023-02-28T20:49:22.153Z;4;;OBI Markt Wien Triester Str.
2023-02-28T08:38:55.525Z;4;;OBI Markt Wien Triester Str.
2023-02-27T14:57:16.907Z;5;Super grosser Markt. Blumen Abteilung ist ein Hammer. Jetzt gerade 27.2.23 sind sehr schöne Blumen zum haben;OBI Markt Wien Triester Str.
2023-02-27T12:51:19.919Z;5;;OBI Markt Wien Triester Str.
2023-02-27T12:13:57.376Z;5;;OBI Markt Wien Triester Str.
2023-02-27T09:56:01.364Z;5;;OBI Markt Wien Triester Str.
2023-02-27T07:10:24.030Z;5;Hh;OBI Markt Wien Triester Str.
2023-02-26T21:53:49.195Z;5;;OBI Markt Wien Triester Str.
2023-02-26T08:00:32.664Z;5;;OBI Markt Wien Triester Str.
2023-02-26T03:08:12.589Z;5;;OBI Markt Wien Triester Str.
2023-02-25T15:26:48.871Z;4;;OBI Markt Wien Triester Str.
2023-02-25T14:19:24.819Z;5;???;OBI Markt Wien Triester Str.
2023-02-24T16:38:42.813Z;3;;OBI Markt Wien Triester Str.
2023-02-24T10:06:31.029Z;1;Obi Triesterstraße, schlechtester Kundenservice. Kein Kundenverkehr und niemand fühlt sich in der Lage für ein Beratungsgespräch. Da wird lieber mit den Kollegen ein gemütliches Plauscherl geführt. Danach an der Info geläutet für Sanitär-Beratung. Nach 10 Minuten Wartezeit noch immer keiner der sich dafür zuständig fühlt. Es ist unglaublich, also ab zur Konkurrenz, schlechter kanns nicht werden;OBI Markt Wien Triester Str.
2023-02-24T10:06:24.898Z;4;;OBI Markt Wien Triester Str.
2023-02-24T01:56:09.555Z;5;Gut;OBI Markt Wien Triester Str.
2023-02-23T07:33:56.097Z;5;Muy bien allí tienen buenas atenciones se puede comprar pisos, cocina, baños y ademas cuentan con todos los respuestos para su equipos.;OBI Markt Wien Triester Str.
2023-02-22T08:05:48.410Z;5;;OBI Markt Wien Triester Str.
2023-02-21T18:58:10.938Z;5;Güzel bir ali?veri? magzasi çok begeniyorum kalite güzel;OBI Markt Wien Triester Str.
2023-02-21T18:01:04.588Z;5;;OBI Markt Wien Triester Str.
2023-02-21T13:10:11.445Z;5;;OBI Markt Wien Triester Str.
2023-02-19T15:37:52.689Z;4;;OBI Markt Wien Triester Str.
2023-02-19T13:58:51.621Z;4;;OBI Markt Wien Triester Str.
2023-02-18T21:48:24.547Z;4;;OBI Markt Wien Triester Str.
2023-02-18T21:45:18.092Z;5;"Hochkompetente und bemühte Mitarbeiter (mindestens sieben)!
Vor Allem in der Pflanzenabteilung und an den Kassen!
Engagiert, flexibel und geduldig.";OBI Markt Wien Triester Str.
2023-02-18T19:48:37.966Z;4;;OBI Markt Wien Triester Str.
2023-02-16T16:23:44.406Z;5;;OBI Markt Wien Triester Str.
2023-02-15T17:14:32.814Z;2;Markt selber ist Gut, leider nehmen sich Mitarbeiter nicht wirklich Zeit. Ervmeinteves ist eine M 12 Mutter mit Schublehre gemessen, war aber eine M 14. Naja echt;OBI Markt Wien Triester Str.
2023-02-14T12:10:05.171Z;1;Die an der Kasse und Info sollten rechnen lernen, nicht einmal entschuldigen für den Fehler. normal bei Obi.;OBI Markt Wien Triester Str.
2023-02-12T15:06:30.681Z;5;Die Einfahrt auf den Parkplatz/die Tiefgarage ist etwas verwirrend beim ersten Mal, aber ansonsten einwandfrei!;OBI Markt Wien Triester Str.
2023-02-11T14:45:16.741Z;5;;OBI Markt Wien Triester Str.
2023-02-11T09:53:22.306Z;5;;OBI Markt Wien Triester Str.
2023-02-10T16:15:36.644Z;5;;OBI Markt Wien Triester Str.
2023-02-10T12:36:23.663Z;5;Sehr gut;OBI Markt Wien Triester Str.
2023-02-09T11:06:21.341Z;5;;OBI Markt Wien Triester Str.
2023-02-08T19:11:57.820Z;5;;OBI Markt Wien Triester Str.
2023-02-08T11:06:23.812Z;5;Super;OBI Markt Wien Triester Str.
2023-02-08T08:07:11.812Z;5;Gute und große Auswahl - Personal ist auch durchaus freundlich.;OBI Markt Wien Triester Str.
2023-02-08T07:52:56.663Z;5;"Ein typischer Baumarkt. Dieser ist recht neu, 2-geschossig. Große Auswahl, günstige zentrale Lage, großer Parkplatz mit Parkgarage.
Normalerweise doch greifbares Personal.
War auch heute so in der Gartenabteilung. Nur war der Mann allein unten in der Warenausgabe arm. Entsprechend ungeduldig waren die Leute.";OBI Markt Wien Triester Str.
2023-02-07T22:53:24.030Z;5;;OBI Markt Wien Triester Str.
