text;stars
Haut scho hi;3
;4
"Wir hatten einen hervorragenden Club-Abend. Die Musik war sehr sehr gut, der Club hat au?erdem ein tolles Arsenal an Lasern & LEDs. Der Eintritt ist mit 13? relativ teuer, die Getr?nke waren preislich in Ordnung. Durch die mehreren Stages ist f?r jeden Musikgeschmack was dabei, auch hat die Qualit?t der Musik auf allen Stages gestimmt. Der Club ist au?erdem sehr sehr gro?, weswegen es nicht so eng ist wie anderswo oft.
Zum Thema Rassismus bei der Einlasskontrolle der hier in den Bewertungen anscheinend ?fter angesprochen wird habe ich nichts mitbekommen, w?re nat?rlich schlimm wenn das zutreffen sollte...";5
"Ser gut zu tanzen aber ich habe insgesamt 3 streiten gesehen und Security hat nichts gemacht.
Und Um 3 Uhr die Schlange in der Garderobe war es sehr schlecht und verwirrend. Dort gab noch eine Streite.";3
Odli?na diskoteka sa nekoliko stejd?eva za svakoga pone?to. Dobra zabava i ugo?aj.;5
Kl. Bier um knappe 10? lol aber nein danke unter 300? kommt man da nicht weit und das pro Person gerechnet die 300?;1
"Eine Sauerei!
Ich war die letzten 10 Jahre regelm??ig mit Freunden dort, aber mit der gestrigen Geburtstagsfeier ist der Club f?r uns gestorben. Meine Partnerin hat ihre Jacke abgegeben, beim Eingang wurde sie dazu aufgefordert ebenfalls ihre Weste abzugeben und nochmals 2? Euro zu zahlen. Nach ewiger Diskussion ""durfte"" Sie ihre Weste zur Jacke dazuh?ngen.
Im Club ist es kalt, die Typen laufen mit Hoodies und Hauben herum, aber meine Partnerin ""darf"" im Kleid frieren.
Das nennt man Freundlichkeit.
So verhaut man sich selbst das Gesch?ft.
Nicht dass ihr denkt es geht um 2?, es geht ums Prinzip.
W?nsche dem Klub mit diesem Modell noch viel Erfolg.";1
;5
Very cool place with multiple different rooms with different music and vibes. Entrance is 13euros and cloakroom 2euros. Went here two nights in a row and had a blast both nights. We enjoyed the second floor room with rap and latin music the best! Staff was also friendly and we had no issue. Drinks were around 8-10euros, so pregame well if you can. Definitely one of my favorite clubs in Europe!!;5
;5
Ist eine sehr gro?e Discothek preislich etwas teuer aber super nettes Personal;3
;5
die Security?s wollten die Ausweise nicht ansehen und lassen einen nicht rein weil man einbisschen schwarzer als die anderen ist obwohl man reserviert hat;1
Kannst du vergessen wollte rein und wegen meinem Vollbart schickten sie mich weg meine Freundin hat man reingelassen und alle die ein babyface hatten kommen rein;1
Wollte rein gehen doch die T?rsteher lassten mich nicht rein wegen meinem voll Bart einfach nur traurig;1
;2
;4
;5
The entry was 15? because it was Juicy event. The wardrobe and drinks charges additionaly (2? per jacket). The club was full of people who looked like they were underaged. Music was fine (main DJ was playing mostly mainstream music while DJ on the top floor played mostly hip-hop music). For me personally it wasn't worth the money and I didn't even drink inside. I won't go there again due to expences and people inside.;2
Nicht mal ein Stern verdient so ein asozialer Klub;1
"Die T?rsteher sind, die letztens unfreundliche wir gehen mit Freunde hin, die lassen einfach uns nicht rein Grund(es sind zu viele M?nner drinnen) man Ruft drinnen ankommt auch nicht weiter, das man mit einem Verantwortlich reden kann. WER NIE WIEDER DORT HIN GEHEN.

Nicht mal ein Stern wert.";1
Eigentlich der geilste Club. Dancefloors mit verschiedenen Stilrichtungen und ein sehr sch?nes Ambiente. Nur halt leider auch ziemlich teuer geworden.;4
Pentru to?i Rom?ni din Vienna, rupem discoteca dac? vrem;5
;4
One of the worst club I been in my life.;1
Einfach nur rassistisch. Wir hatten 45K die wir drinnen ausgeben wollten. Sind aber nicht reingekommen ohne ein Begr?ndung.;1
