isLocalGuide;likesCount;stars;text;title
false;0;5;;Technische Universität Wien
true;0;4;Eine Top Uni im technischen Feld, auch wenn der Schwierigkeitsgrad sehr variiert.;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Excellent excellent excellent humanity and Menschenlich;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Gut und fantastisch;Technische Universität Wien
false;0;2;lieber eine fachhochsule;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;Great place.;Technische Universität Wien
true;6;1;Der Schwierigkeitsgrad ist äußerst inkonsistent und hängt fast ausschließlich davon ab, welchen Professor man für eine Prüfung auswählt/erwischt. Mit der selben Leistung kann man bei einem Professor ein Sehr Gut bekommen und bei einem anderen ein Nicht Genügend. Das Problem ist, dass die Plätze bei den fairen Prüfungen sofort weg sind, wenn man nicht einer der Ersten ist, die es schaffen sich um 6 Uhr in der Früh anzumelden. Dann kann man sich entweder für eine unfaire Prüfung anmelden oder 3-6 Monate auf neue Termine bei fairen Prüfern warten.;Technische Universität Wien
false;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;1;4;good education (civil eng);
;;;;
true;0;5;;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;0;5;Awesome ??;Technische Universität Wien
true;0;5;;Technische Universität Wien
false;1;1;Ganz cool bis auf den fact, dass sie meine Jacke haben und ich sie ohne Uni Ausweis nicht abholen darf. ????;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;0;5;War 1980 dort - ziemlich verstaubt.  War die letzten Jahre immer wieder dort - Top.;Technische Universität Wien
true;0;2;;Technische Universität Wien
false;0;5;Open campus, looks neat and cool.;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;5;Molto bello;Technische Universität Wien
true;1;5;No tacos but studying here is still nice.;Technische Universität Wien
true;0;5;;Technische Universität Wien
true;7;4;Gave me alcoholism and depression, 4/5 would go again.;Technische Universität Wien
false;0;5;;Technische Universität Wien
true;0;4;;Technische Universität Wien
false;9;1;Schlechteste Universität an der man studieren kann. Die Durchschnittsstudienzeit ist weit über der Mindestdauer weil die Prüfungen in dieser Zeit nicht zu schaffen sind.;
